person1,person2,weight,relation_types,documents_count
Τῦβι,ΤπραῦΝααραῦ Παμουτίου,1,co_occurs_in_document,1
Τῦβι,Νεφερᾶ Θουπις,1,co_occurs_in_document,1
Τῦβι,ΠκᾶτοςΠκύσιος,1,co_occurs_in_document,1
Τῦβι,Μαρία,1,co_occurs_in_document,1
Τῦβι,Αν,1,co_occurs_in_document,1
Τῦβι,Φῖβ,1,co_occurs_in_document,1
Τῦβι,Ἀβραὰμκυρίου,1,co_occurs_in_document,1
Τῦβι,Σαραποῦς Διονυσίου,1,co_occurs_in_document,1
Τῦβι,Σαραπίωνος Θέωνος,1,co_occurs_in_document,1
Τῦβι,Σκὼ,1,co_occurs_in_document,1
Τῦβι,Αὐρηλίου,1,co_occurs_in_document,1
Τῦβι,Τααφύγχει Νεμεσάτος,1,co_occurs_in_document,1
Τῦβι,Ψόιτος Σαμβαθ,1,co_occurs_in_document,1
Τῦβι,Θέωνος,1,co_occurs_in_document,1
Τῦβι,Νικήρα,1,co_occurs_in_document,1
Τῦβι,Πρωτάρχου,1,co_occurs_in_document,1
Τῦβι,Νική,1,co_occurs_in_document,1
Τῦβι,Μεχὶρ,1,co_occurs_in_document,1
Τῦβι,Θεμβακῆβκις Ψοίφεως,1,co_occurs_in_document,1
Τῦβι,Θενπακήβκιος,1,co_occurs_in_document,1
Τῦβι,Φλαυίου Μέλανος,1,co_occurs_in_document,1
Τῦβι,Σερηνια,1,co_occurs_in_document,1
Τῦβι,Μα,1,co_occurs_in_document,1
Τῦβι,Μαρς,1,co_occurs_in_document,1
Τῦβι,Θενκήβκιος,1,co_occurs_in_document,1
Τῦβι,Αἰγύπτια,1,co_occurs_in_document,1
Τῦβι,Πακῆβκις,1,co_occurs_in_document,1
Τῦβι,Ζώσιμος Πακήβκιος,1,co_occurs_in_document,1
Τῦβι,Θαισᾶτος,1,co_occurs_in_document,1
Τῦβι,Αὐτοκράτορος Καίσαρος,1,co_occurs_in_document,1
Τῦβι,Σεβαστοῦ,1,co_occurs_in_document,1
Τῦβι,Λουκίου Αὐρηλίου,1,co_occurs_in_document,1
Τῦβι,Οὐήρουvestigesρου Σεβαστοῦ,1,co_occurs_in_document,1
Τῦβι,ll40-53=Chrest.Wilck. 137,1,co_occurs_in_document,1
Τῦβι,Νεῖλος,1,co_occurs_in_document,1
Τῦβι,Πανακέστωρ Ζήνωνι,1,co_occurs_in_document,1
Τῦβι,Ζήνωνι,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Θεσμοφό,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Μεχείρ,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Μεχεὶρ,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Φαμενὼθ,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Φαρμοῦ,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Φαρμοῦθι,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Χοιάχ,1,co_occurs_in_document,1
Χοιὰχ Θερμούθει,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
